group_by,group_value,project_count,median_total_ratio_actual_to_estimate,mean_total_ratio_actual_to_estimate,median_wall_area_ratio_actual_to_estimate
finish_level,complex,2,0.8873025260280091,0.8873025260280091,0.8942501358290833
finish_level,standard,1,1.0710584073157623,1.0710584073157623,1.117924528301887
intertenancy_wall,no,3,1.0710584073157623,0.9485544864572603,0.9500404858299596
floor_area_band,100-149,2,1.1112374601477673,1.1112374601477673,1.0339825070659234
floor_area_band,200+,1,0.6231885390762459,0.6231885390762459,0.8384597858282069
